Codice;Descrizione;PrezzoLordo;CostoInstallazione;CostoTrasporto
00100208;PUMA CE 1ph 230V 50-60Hz;17000;390;320
00100210;CM 1200BB CE 1ph 230V 50-60Hz MI;22200;390;320
